timestamp,temperature,humidity,predicted_demand_mw,capacity_utilization,utilization_percent,risk_score,risk_level,capacity_margin_mw
2026-09-01 00:00:00,29.4,77,4958.56640625,0.61982080078125,61.98,61.98,NORMAL,3041.43
2026-09-01 01:00:00,28.9,78,4822.0869140625,0.6027608642578125,60.28,60.28,NORMAL,3177.91
2026-09-01 02:00:00,28.4,77,4767.50830078125,0.5959385375976562,59.59,59.59,NORMAL,3232.49
2026-09-01 03:00:00,28.1,75,4702.94580078125,0.5878682250976562,58.79,58.79,NORMAL,3297.05
2026-09-01 04:00:00,27.8,74,4800.03759765625,0.6000046997070313,60.0,60.0,NORMAL,3199.96
2026-09-01 05:00:00,28.2,72,4879.818359375,0.609977294921875,61.0,61.0,NORMAL,3120.18
2026-09-01 06:00:00,27.7,74,5741.4921875,0.7176865234375,71.77,71.77,WATCH,2258.51
2026-09-01 07:00:00,28.5,73,6051.1728515625,0.7563966064453125,75.64,75.64,WATCH,1948.83
2026-09-01 08:00:00,29.5,69,6223.07275390625,0.7778840942382812,77.79,77.79,WATCH,1776.93
2026-09-01 09:00:00,30.8,65,6728.0166015625,0.8410020751953124,84.1,84.1,WATCH,1271.98
2026-09-01 10:00:00,32.1,60,6582.4541015625,0.8228067626953125,82.28,82.28,WATCH,1417.55
2026-09-01 11:00:00,32.6,55,6559.63232421875,0.8199540405273438,82.0,82.0,WATCH,1440.37
2026-09-01 12:00:00,33.4,52,6604.64697265625,0.8255808715820312,82.56,82.56,WATCH,1395.35
2026-09-01 13:00:00,34.3,49,6531.23876953125,0.8164048461914063,81.64,81.64,WATCH,1468.76
2026-09-01 14:00:00,33.6,52,6717.6103515625,0.8397012939453125,83.97,83.97,WATCH,1282.39
2026-09-01 15:00:00,31.7,61,6510.9072265625,0.8138634033203125,81.39,81.39,WATCH,1489.09
2026-09-01 16:00:00,32.1,59,6655.0732421875,0.8318841552734375,83.19,83.19,WATCH,1344.93
2026-09-01 17:00:00,31.7,64,6710.9609375,0.8388701171875,83.89,83.89,WATCH,1289.04
2026-09-01 18:00:00,31.6,62,6854.48583984375,0.8568107299804687,85.68,85.68,HIGH,1145.51
2026-09-01 19:00:00,30.7,67,6627.73291015625,0.8284666137695312,82.85,82.85,WATCH,1372.27
2026-09-01 20:00:00,29.9,73,6539.35302734375,0.8174191284179687,81.74,81.74,WATCH,1460.65
2026-09-01 21:00:00,29.5,76,6354.08154296875,0.7942601928710937,79.43,79.43,WATCH,1645.92
2026-09-01 22:00:00,29.2,80,6204.3837890625,0.7755479736328125,77.55,77.55,WATCH,1795.62
2026-09-01 23:00:00,27.3,82,5792.98876953125,0.7241235961914062,72.41,72.41,WATCH,2207.01
